constellation,constellation_pattern,modulus,class,window,statistic,g,n_obs,empirical,predicted,predicted_wheel_only,se,z,z_wheel_only,class_mod_6,class_mod_30,class_mod_7,class_mod_11,dist_to_mult_7,dist_to_mult_11,paper_direction,text
twin,"(0,2)",210,11,1e5-1e6,mean_norm_gap,,476,0.985384,1.01637,0.990201,0.0412762,-0.7507,-0.1167,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: mean normalized gap runs 1.5% short; model predicts 1.6% long; z = -0.8."
twin,"(0,2)",210,11,1e5-1e6,var_norm_gap,,476,0.811482,0.985926,0.946902,0.0846789,-2.06,-1.599,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: variance of the normalized gap is 0.8115 vs predicted 0.9859; z = -2.1."
twin,"(0,2)",210,11,1e5-1e6,skew_norm_gap,,476,1.44245,1.77651,1.83864,0.141268,-2.365,-2.804,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: skewness of the normalized gap is 1.442 vs predicted 1.777; z = -2.4."
twin,"(0,2)",210,11,1e5-1e6,kurt_norm_gap,,476,2.67518,4.99578,5.22643,0.634411,-3.658,-4.021,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: excess kurtosis of the normalized gap is 2.675 vs predicted 4.996; z = -3.7."
twin,"(0,2)",210,11,1e5-1e6,p_tail_2x,,476,0.113445,0.115184,0.122577,0.0152833,-0.1137,-0.5975,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap > 2x class mean) is 0.1134 vs predicted 0.1152; z = -0.1."
twin,"(0,2)",210,11,1e5-1e6,p_tail_3x,,476,0.0420168,0.0405099,0.0472122,0.009335,0.1614,-0.5566,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap > 3x class mean) is 0.04202 vs predicted 0.04051; z = +0.2."
twin,"(0,2)",210,11,1e5-1e6,p_tail_5x,,476,0,0.00446093,0.0057916,0,,,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap > 5x class mean) is 0 vs predicted 0.004461; z undefined."
twin,"(0,2)",210,11,1e5-1e6,p_gap_6,,476,0.107143,0.0914313,0.107508,0.0144016,1.091,-0.02537,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap = 6) is 0.1071 vs predicted 0.09143; z = +1.1."
twin,"(0,2)",210,11,1e5-1e6,p_gap_12,,476,0,0,0,0,,,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap = 12) is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,11,1e5-1e6,p_gap_18,,476,0.092437,0.0829586,0.095794,0.0140433,0.6749,-0.239,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap = 18) is 0.09244 vs predicted 0.08296; z = +0.7."
twin,"(0,2)",210,11,1e5-1e6,p_gap_30,,476,0.0798319,0.0752826,0.0853749,0.0123705,0.3678,-0.4481,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: P(gap = 30) is 0.07983 vs predicted 0.07528; z = +0.4."
twin,"(0,2)",210,11,1e5-1e6,hazard,6,476,0.107143,0.0914313,0.107508,0.0144016,1.091,-0.02537,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 6 is 0.1071 vs predicted 0.09143; z = +1.1."
twin,"(0,2)",210,11,1e5-1e6,hazard,24,381,0,0,0,0,,,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 24 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,11,1e5-1e6,hazard,42,343,0,0,0,0,,,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 42 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,11,1e5-1e6,hazard,60,307,0.0977199,0.0980772,0.106825,0.0172576,-0.0207,-0.5276,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 60 is 0.09772 vs predicted 0.09808; z = -0.0."
twin,"(0,2)",210,11,1e5-1e6,hazard,102,224,0,0,0,0,,,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 102 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,11,1e5-1e6,hazard,174,139,0,0,0,0,,,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 174 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,11,1e5-1e6,hazard,300,46,0.108696,0.0902163,0.104523,0.0468722,0.3943,0.08901,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: hazard of the next pair at gap 300 is 0.1087 vs predicted 0.09022; z = +0.4."
twin,"(0,2)",210,11,1e5-1e6,autocorr_lag1,,475,0.00991939,0,0,0.0476952,0.208,0.208,5,11,4,0,3,0,neutral,"Twin primes, class 11 mod 210, window 1e5-1e6: lag-1 autocorrelation of consecutive normalized gaps is +0.0099 (hazard model predicts 0); z = +0.2."
twin,"(0,2)",210,17,1e5-1e6,mean_norm_gap,,493,1.01828,1.03342,1.05698,0.0396806,-0.3815,-0.9753,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: mean normalized gap runs 1.8% long; model predicts 3.3% long; z = -0.4."
twin,"(0,2)",210,17,1e5-1e6,var_norm_gap,,493,0.776181,0.953065,0.940881,0.0792942,-2.231,-2.077,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: variance of the normalized gap is 0.7762 vs predicted 0.9531; z = -2.2."
twin,"(0,2)",210,17,1e5-1e6,skew_norm_gap,,493,1.54332,1.80238,1.83718,0.170889,-1.516,-1.72,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: skewness of the normalized gap is 1.543 vs predicted 1.802; z = -1.5."
twin,"(0,2)",210,17,1e5-1e6,kurt_norm_gap,,493,3.20619,5.09603,5.28282,0.901676,-2.096,-2.303,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: excess kurtosis of the normalized gap is 3.206 vs predicted 5.096; z = -2.1."
twin,"(0,2)",210,17,1e5-1e6,p_tail_2x,,493,0.105477,0.11984,0.114773,0.0136717,-1.051,-0.68,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap > 2x class mean) is 0.1055 vs predicted 0.1198; z = -1.1."
twin,"(0,2)",210,17,1e5-1e6,p_tail_3x,,493,0.030426,0.0378747,0.0389545,0.00780981,-0.9538,-1.092,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap > 3x class mean) is 0.03043 vs predicted 0.03787; z = -1.0."
twin,"(0,2)",210,17,1e5-1e6,p_tail_5x,,493,0.0020284,0.00389501,0.00429217,0.0019332,-0.9656,-1.171,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap > 5x class mean) is 0.002028 vs predicted 0.003895; z = -1.0."
twin,"(0,2)",210,17,1e5-1e6,p_gap_6,,493,0,0,0,0,,,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap = 6) is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,17,1e5-1e6,p_gap_12,,493,0.0791075,0.0914313,0.107508,0.0120232,-1.025,-2.362,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap = 12) is 0.07911 vs predicted 0.09143; z = -1.0."
twin,"(0,2)",210,17,1e5-1e6,p_gap_18,,493,0,0,0,0,,,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap = 18) is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,17,1e5-1e6,p_gap_30,,493,0,0,0,0,,,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: P(gap = 30) is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,17,1e5-1e6,hazard,6,493,0,0,0,0,,,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 6 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,17,1e5-1e6,hazard,24,454,0.103524,0.115945,0.107333,0.0139004,-0.8936,-0.274,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 24 is 0.1035 vs predicted 0.1159; z = -0.9."
twin,"(0,2)",210,17,1e5-1e6,hazard,42,407,0.12285,0.104168,0.107161,0.0155225,1.204,1.011,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 42 is 0.1229 vs predicted 0.1042; z = +1.2."
twin,"(0,2)",210,17,1e5-1e6,hazard,60,312,0,0,0,0,,,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 60 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,17,1e5-1e6,hazard,102,236,0,0,0,0,,,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 102 is 0 vs predicted 0; z undefined."
twin,"(0,2)",210,17,1e5-1e6,hazard,174,159,0.132075,0.11405,0.105884,0.0252507,0.7138,1.037,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 174 is 0.1321 vs predicted 0.1141; z = +0.7."
twin,"(0,2)",210,17,1e5-1e6,hazard,300,43,0.139535,0.090153,0.104524,0.0559895,0.882,0.6253,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: hazard of the next pair at gap 300 is 0.1395 vs predicted 0.09015; z = +0.9."
twin,"(0,2)",210,17,1e5-1e6,autocorr_lag1,,492,-0.0267383,0,0,0.0429405,-0.6227,-0.6227,5,17,3,6,3,5,neutral,"Twin primes, class 17 mod 210, window 1e5-1e6: lag-1 autocorrelation of consecutive normalized gaps is -0.0267 (hazard model predicts 0); z = -0.6."
twin,"(0,2)",210,29,1e5-1e6,mean_norm_gap,,479,1.07743,1.08857,1.08082,0.0387267,-0.2877,-0.08738,5,29,1,7,1,4,long,"Twin primes, class 29 mod 210, window 1e5-1e6: mean normalized gap runs 7.7% long; model predicts 8.9% long; z = -0.3."
twin,"(0,2)",210,29,1e5-1e6,var_norm_gap,,479,0.701975,0.974759,0.928551,0.0701306,-3.89,-3.231,5,29,1,7,1,4,long,"Twin primes, class 29 mod 210, window 1e5-1e6: variance of the normalized gap is 0.702 vs predicted 0.9748; z = -3.9."
twin,"(0,2)",210,29,1e5-1e6,skew_norm_gap,,479,1.4151,1.80699,1.8568,0.171821,-2.281,-2.571,5,29,1,7,1,4,long,"Twin primes, class 29 mod 210, window 1e5-1e6: skewness of the normalized gap is 1.415 vs predicted 1.807; z = -2.3."
twin,"(0,2)",210,29,1e5-1e6,kurt_norm_gap,,479,2.8262,5.10746,5.42839,0.904483,-2.522,-2.877,5,29,1,7,1,4,long,"Twin primes, class 29 mod 210, window 1e5-1e6: excess kurtosis of the normalized gap is 2.826 vs predicted 5.107; z = -2.5."
