mod210,n_gaps,mean_gap,rho_bar,se_rho_bar
11,228244,296.1260,1.014089,0.002024
17,228369,297.1128,1.017468,0.002004
29,228510,305.7914,1.047188,0.002009
41,228165,302.5817,1.036196,0.001977
59,228074,302.2248,1.034974,0.002023
71,228390,299.8254,1.026757,0.001993
101,228264,289.0234,0.989765,0.002008
107,228548,298.5580,1.022417,0.002013
137,228097,281.2239,0.963056,0.002016
149,228217,278.9669,0.955327,0.001988
167,228406,279.5440,0.957303,0.002023
179,228346,281.0801,0.962563,0.002030
191,228153,282.6296,0.967870,0.002025
197,228708,290.6178,0.995225,0.002017
209,228012,294.8745,1.009803,0.002024
