mod2310,xmax,n_gaps,mean_gap,rho_bar,se_rho_bar
17,1e+07,480,148.4625,0.875605,0.037674
29,1e+07,444,173.4324,1.022873,0.044904
41,1e+07,441,175.0068,1.032158,0.044201
59,1e+07,445,155.6090,0.917753,0.039739
71,1e+07,432,173.2639,1.021879,0.052961
101,1e+07,447,161.3960,0.951884,0.043639
107,1e+07,444,158.5946,0.935362,0.042483
137,1e+07,447,151.1544,0.891481,0.042577
149,1e+07,457,163.8775,0.966519,0.044605
167,1e+07,461,159.4360,0.940324,0.045160
179,1e+07,441,158.0000,0.931855,0.045810
191,1e+07,434,164.7650,0.971754,0.046133
197,1e+07,463,173.6112,1.023927,0.044531
221,1e+07,467,179.9743,1.061456,0.043715
227,1e+07,437,189.2677,1.116266,0.052107
239,1e+07,443,184.8894,1.090444,0.040916
269,1e+07,433,180.7898,1.066265,0.045306
281,1e+07,452,177.5310,1.047045,0.038088
311,1e+07,423,165.4752,0.975942,0.040425
347,1e+07,454,153.0396,0.902600,0.044202
359,1e+07,448,151.3527,0.892650,0.042987
377,1e+07,439,159.2665,0.939325,0.048617
389,1e+07,433,148.2263,0.874212,0.044588
401,1e+07,457,156.1969,0.921221,0.042168
419,1e+07,438,167.1644,0.985905,0.048407
431,1e+07,434,173.7788,1.024916,0.048448
437,1e+07,471,170.2548,1.004132,0.041143
461,1e+07,418,164.3254,0.969161,0.044133
479,1e+07,421,173.0736,1.020757,0.048703
491,1e+07,424,174.1698,1.027222,0.051078
521,1e+07,430,158.2744,0.933474,0.045553
527,1e+07,444,167.1351,0.985732,0.045578
557,1e+07,420,159.3714,0.939944,0.049541
569,1e+07,395,155.6810,0.918178,0.046390
587,1e+07,434,164.0323,0.967432,0.048898
599,1e+07,476,164.6345,0.970984,0.043948
611,1e+07,422,171.5118,1.011546,0.044350
617,1e+07,463,185.0151,1.091185,0.044492
629,1e+07,450,187.9867,1.108711,0.045447
641,1e+07,470,198.7149,1.171984,0.042823
659,1e+07,418,200.7273,1.183853,0.045912
689,1e+07,431,202.5104,1.194370,0.046994
701,1e+07,414,199.5942,1.177170,0.048732
731,1e+07,418,183.6890,1.083364,0.048327
767,1e+07,442,169.2896,0.998439,0.047125
797,1e+07,431,155.0534,0.914476,0.050659
809,1e+07,422,161.8578,0.954608,0.046794
821,1e+07,449,157.1225,0.926680,0.046385
827,1e+07,444,175.3919,1.034429,0.041991
839,1e+07,449,188.5523,1.112047,0.046698
851,1e+07,454,170.5507,1.005877,0.041293
857,1e+07,420,186.7857,1.101628,0.043894
881,1e+07,429,189.4406,1.117286,0.044906
899,1e+07,433,186.4850,1.099854,0.040839
941,1e+07,429,162.1399,0.956271,0.046096
947,1e+07,453,183.4437,1.081917,0.044353
989,1e+07,447,161.1946,0.950696,0.045598
1007,1e+07,415,157.3012,0.927734,0.049935
1019,1e+07,459,158.7974,0.936558,0.045105
1031,1e+07,439,158.5968,0.935375,0.045172
1037,1e+07,440,173.7682,1.024853,0.048649
1049,1e+07,433,191.0162,1.126578,0.048209
1061,1e+07,455,187.0286,1.103060,0.042967
1079,1e+07,456,186.0132,1.097072,0.047323
1091,1e+07,407,199.8428,1.178636,0.051411
